VideoGameID,VGName,Platform,YearOfRelease,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,CriticScore,Critic_Count,UserScore,User_Count,Developer
243,Scribblenauts,DS,2009,Puzzle,1.67,0.3,0.02,0.18,2.16,79,72,7.6,110,5TH Cell
244,Sonic Unleashed,Wii,2008,Platform,1.26,0.67,0.02,0.21,2.16,66,30,7.3,136,Sonic Team
245,Pokemon Ranger,DS,2006,Role-Playing,1.28,0.03,0.73,0.12,2.15,69,21,7.6,50,HAL Labs
246,Volleyball,NES,1987,Sports,0.14,0.03,1.98,0,2.15,,,,,
247,Super Mario RPG: Legend of the Seven Stars,SNES,1996,Role-Playing,0.66,0,1.45,0.03,2.14,,,,,
248,Parasite Eve,PS,1998,Role-Playing,0.94,0.07,1.05,0.04,2.1,81,17,8.9,89,SquareSoft
249,Tetris DS,DS,2006,Puzzle,0.63,0.05,1.35,0.08,2.1,84,56,8.7,44,Nintendo
250,Project Gotham Racing (JP weekly sales),XB,2002,Action,1.54,0.44,0.04,0.07,2.1,,,,,
251,Scooby-Doo! Night of 100 Frights,PS2,2002,Platform,1.17,0.72,0,0.22,2.1,,,,,
252,Mortal Kombat,X360,2011,Fighting,1.63,0.31,0,0.16,2.1,86,66,8.3,382,NetherRealm Studios
253,Finding Nemo,PS2,2003,Action,1.26,0.6,0.05,0.18,2.09,,,,,
254,Tetris Worlds,PS2,2002,Puzzle,1.11,0.71,0,0.27,2.08,44,7,6.2,11,Blue Planet Software
255,Sim Theme Park,PC,1998,Strategy,2.04,0.04,0,0,2.08,,,8.3,14,Bullfrog Productions
256,Mario Party 5,GC,2003,Misc,0.97,0.33,0.73,0.06,2.08,69,33,8.2,57,Hudson
257,Mario & Luigi: Dream Team,3DS,2013,Role-Playing,0.89,0.58,0.46,0.14,2.08,,,,,
258,Mario Sports Mix,Wii,2010,Sports,0.88,0.44,0.63,0.12,2.08,64,54,7.1,34,Square Enix
259,Kirby's Epic Yarn,Wii,2010,Platform,1.42,0.09,0.45,0.1,2.06,,,,,
260,Wipeout: The Game,Wii,2009,Misc,1.94,0,0,0.12,2.06,,,,,
261,Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005,Role-Playing,0.71,0.52,0.74,0.08,2.06,,,,,
262,The Incredibles,GBA,2004,Action,1.15,0.77,0.04,0.1,2.06,55,13,0,,Helixe
263,Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,0.63,0.41,0.75,0.26,2.06,82,62,8.6,208,Square Enix
264,Sonic Mega Collection,GC,2002,Misc,1.47,0.48,0.05,0.06,2.05,75,26,8.8,41,Sonic Team
265,Ghostbusters: The Video Game (DS Version),PS3,2010,Action,0.6,0.96,0.13,0.36,2.05,,,,,
266,Toy Story 3: The Video Game,DS,2010,Action,0.89,0.94,0.02,0.21,2.05,,,,,
267,Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,0.71,1.02,0,0.31,2.04,82,41,8.2,68,Ubisoft Montpellier
268,Donkey Kong Country,GBA,2003,Platform,1.2,0.48,0.29,0.07,2.04,78,26,8.9,53,Rare Ltd.
269,PGR4 - Project Gotham Racing 4,X360,2007,Racing,0.48,1.28,0.02,0.25,2.04,,,,,
270,Carnival Games,DS,2008,Misc,1.21,0.63,0,0.19,2.03,48,11,3.3,4,Cat Daddy Games
271,Pokemon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,1.15,0.04,0.83,0,2.02,62,34,8.1,97,ChunSoft
272,Super Street Fighter II,SNES,1993,Fighting,0.52,0.16,1.29,0.03,2,,,,,
273,Mortal Kombat vs. DC Universe,PS3,2008,Fighting,1.48,0.28,0,0.23,2,76,44,7.1,107,Midway
274,Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,1.06,0.26,0.53,0.13,1.98,75,53,7.8,162,h.a.n.d. Inc.
275,Skate 3,PS3,2010,Sports,0.79,0.88,0,0.32,1.98,80,46,7.6,82,EA Black Box
276,Spyro: Enter the Dragonfly,PS2,2002,Platform,0.74,0.95,0,0.28,1.97,56,20,4.1,95,Check Six Games
277,E.T.: The Extra Terrestrial,2600,1981,Action,1.84,0.11,0,0.02,1.97,,,,,
278,Minecraft,PSV,2014,Misc,0.18,0.64,0.9,0.24,1.96,,,,,
279,Soccer,NES,1985,Sports,0.18,0.23,1.53,0.02,1.96,,,,,
280,Crash Nitro Kart,PS2,2003,Racing,0.74,1.01,0,0.2,1.95,69,24,7.7,59,Vicarious Visions
281,Kirby Squeak Squad,DS,2006,Platform,0.78,0.02,1.05,0.08,1.94,71,29,8.1,41,"Flagship, HAL Labs"
282,Scooby Doo and the Cyber Chase,PS,2001,Adventure,0.59,1.23,0,0.13,1.94,,,7.4,10,Art
283,Dragon Ball Z: Budokai 3,PS2,2004,Fighting,1.09,0.15,0.65,0.04,1.94,77,32,8.9,137,Dimps Corporation
284,X-Men Legends,PS2,2004,Role-Playing,1,0.72,0,0.21,1.93,79,48,8.5,69,Raven Software
285,Mortal Kombat II,SNES,1993,Fighting,1.48,0.39,0,0.06,1.93,,,,,
286,Virtua Fighter 2,SAT,1995,Fighting,0.34,0.26,1.3,0.03,1.93,,,,,
287,Mortal Kombat vs. DC Universe,X360,2008,Fighting,1.53,0.23,0,0.16,1.93,72,61,7.5,87,Midway
288,Destiny: The Taken King,PS4,2015,Shooter,0.78,0.79,0.04,0.31,1.93,86,81,6,1079,Bungie
289,Tetris DX,GB,1998,Puzzle,1.06,0.6,0.2,0.07,1.93,,,,,
290,The Legend of Zelda: Oracle of Ages,GB,2001,Action,0.92,0.53,0.41,0.06,1.92,,,,,
291,Destiny,X360,2014,Shooter,1.31,0.43,0,0.18,1.92,,,4.7,504,Bungie
292,Mario Party: Island Tour,3DS,2013,Misc,0.62,0.64,0.55,0.11,1.92,57,47,6.3,117,"Nintendo, Nd Cube"
293,PaRappa The Rapper,PS,1996,Misc,0.26,0.16,1.46,0.03,1.92,92,15,7.4,48,NanaOn-Sha
294,Mario Party 3,N64,2000,Misc,0.72,0.16,1.01,0.02,1.91,,,,,
295,LittleBigPlanet 3,PS4,2014,Platform,0.66,0.93,0.01,0.31,1.91,79,78,7.1,506,Sumo Digital
296,Tomb Raider (2013),X360,2013,Action,0.86,0.84,0.01,0.17,1.89,,,,,
297,Mario Super Sluggers,Wii,2008,Sports,1.48,0,0.29,0.12,1.89,69,31,7.8,58,Namco Bandai Games
298,Donkey Kong Country Returns,3DS,2013,Platform,0.74,0.62,0.41,0.13,1.89,,,,,
299,Monopoly,Wii,2008,Misc,0.86,0.83,0,0.2,1.89,70,11,7.8,17,Electronic Arts
300,Batman: Arkham Origins,X360,2013,Action,1.15,0.56,0,0.17,1.88,74,46,7.5,685,WB Games Montreal
